Variety1,Processing1,Country,TastingGroup
heirloom,washed,ethiopia,Stone Fruit
pacas,washed,el salvador,Other Fruit
sl28,washed,kenya,Berry Fruit
heirloom,natural,ethiopia,Berry Fruit
heirloom,washed,ethiopia,Stone Fruit
sl28,washed,kenya,Berry Fruit
catuai,washed,honduras,Stone Fruit
caturra,washed,colombia,Stone Fruit
heirloom,washed,ethiopia,Stone Fruit
catuai,washed,costa rica,Other Fruit
sl28,natural,kenya,Brown Sugar
bourbon,natural,el salvador,Floral
heirloom,washed,ethiopia,Citrus Fruit
heirloom,washed,ethiopia,Floral
sl28,washed,kenya,Cocoa
bourbon,washed,rwanda,Cocoa
caturra,natural,costa rica,Dried Fruit
catuai,washed,honduras,Other Fruit
castillo,washed,colombia,Berry Fruit
heirloom,washed,ethiopia,Stone Fruit
sl28,washed,kenya,Berry Fruit
geisha,washed,panama,Alcohol
heirloom,washed,ethiopia,Stone Fruit
caturra,natural,costa rica,Other Fruit
bourbon,natural,burundi,Dried Fruit
castillo,honey,colombia,Berry Fruit
bourbon,washed,rwanda,Berry Fruit
caturra,washed,colombia,Sweet
caturra,washed,colombia,Fatty
bourbon,washed,colombia,Body
caturra,washed,peru,Berry Fruit
bourbon,washed,burundi,Dried Fruit
sl28,washed,kenya,Berry Fruit
castillo,washed,colombia,Berry Fruit
caturra,washed,guatemala,Citrus Fruit
castillo,washed,colombia,Brown Sugar
castillo,washed,colombia,Other Fruit
bourbon,washed,rwanda,Brown Sugar
heirloom,washed,ethiopia,Citrus Fruit
caturra,natural,costa rica,Other Fruit
sl28,washed,kenya,Floral
caturra,natural,costa rica,Berry Fruit
heirloom,natural,ethiopia,Other Fruit
bourbon,honey,guatemala,Other Fruit
catuai,washed,costa rica,Berry Fruit
caturra,washed,honduras,Stone Fruit
heirloom,washed,ethiopia,Other Fruit
catuai,washed,honduras,Green/Vegetative
pacamara,honey,el salvador,Citrus Fruit
sl28,washed,uganda,Citrus Fruit
bourbon,washed,burundi,Citrus Fruit
sl28,washed,kenya,Berry Fruit
heirloom,washed,ethiopia,Floral
caturra,washed,colombia,Floral
heirloom,natural,ethiopia,Dried Fruit
heirloom,washed,ethiopia,Stone Fruit
typica,washed,colombia,Cocoa
sl28,washed,kenya,Citrus Fruit
caturra,natural,costa rica,Other Fruit
castillo,washed,colombia,Stone Fruit
catuai,natural,brazil,Cocoa
typica,washed,mexico,Stone Fruit
bourbon,washed,burundi,Floral
castillo,washed,colombia,Citrus Fruit
catuai,natural,brazil,Stone Fruit
caturra,washed,nicaragua,Other Fruit
typica,natural,papua new guinea,Nutty
bourbon,washed,rwanda,Citrus Fruit
catuai,honey,costa rica,Berry Fruit
castillo,washed,colombia,Brown Sugar
various,washed,peru,Other Fruit
